id,account_type,center_id,center_name,center_sub_type,center_type,company_id,create_time,description,is_active,parent_center_id,system_source
1,Assets,1000,Corporate Headquarters,ADMINISTRATIVE,COST,N100,2024-08-02 09:45:46.000000 +00:00,본사,Y,,ABC
2,Assets,1100,IT Services,SUPPORT,COST,N100,2024-08-02 09:45:46.000000 +00:00,IT 서비스,Y,1000,ABC
3,Assets,1200,Human Resources,SUPPORT,COST,N100,2024-08-02 09:45:46.000000 +00:00,인사 부서,Y,1000,ABC
4,Customer,2000,North America Sales,REVENUE,PROFIT,N100,2024-08-02 09:45:46.000000 +00:00,북미 판매 부서,Y,,ABC
5,Customer,2100,US Sales,REVENUE,PROFIT,N100,2024-08-02 09:45:46.000000 +00:00,미국 판매,Y,2000,ABC
6,Customer,2200,Canada Sales,REVENUE,PROFIT,N100,2024-08-02 09:45:46.000000 +00:00,캐나다 판매,Y,2000,ABC
7,Vendor,3000,Global Procurement,SUPPORT,COST,N100,2024-08-02 09:45:46.000000 +00:00,글로벌 조달,Y,,ABC
8,Vendor,3100,Supplier Relations,SUPPORT,COST,N100,2024-08-02 09:45:46.000000 +00:00,공급업체 관계 관리,Y,3000,ABC
9,Material,4000,Manufacturing,OPERATIONAL,COST,N100,2024-08-02 09:45:46.000000 +00:00,제조 부서,Y,,ABC
10,Material,4100,Production Line 1,OPERATIONAL,COST,N100,2024-08-02 09:45:46.000000 +00:00,생산 라인 1,Y,4000,ABC
11,Material,4200,Production Line 2,OPERATIONAL,COST,N100,2024-08-02 09:45:46.000000 +00:00,생산 라인 2,Y,4000,ABC
12,G/L Account,5000,Financial Management,ADMINISTRATIVE,COST,N100,2024-08-02 09:45:46.000000 +00:00,재무 관리,Y,,ABC
13,G/L Account,5100,Corporate Accounting,ADMINISTRATIVE,COST,N100,2024-08-02 09:45:46.000000 +00:00,기업 회계,Y,5000,ABC
14,G/L Account,5200,Payroll Services,ADMINISTRATIVE,COST,N100,2024-08-02 09:45:46.000000 +00:00,급여 서비스,Y,5000,ABC
15,Assets,1300,Legal Services,ADMINISTRATIVE,COST,N100,2024-08-02 09:45:46.000000 +00:00,법무 서비스,Y,1000,ABC
16,Customer,2300,UK Sales,REVENUE,PROFIT,N100,2024-08-02 09:45:46.000000 +00:00,영국 판매,Y,2200,ABC
